timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
1816793670,11.2962,11.3615,0.0,1.64192e-20,0.0,131.741,0.54129,1.10901,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1817303679,11.3751,11.3615,0.0,5.85978e-21,0.0,131.741,0.541311,1.109,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1817803716,11.3258,11.3631,0.0,2.13396e-21,0.0,131.741,0.541883,1.10885,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1818303667,11.3948,11.3617,0.0,7.77123e-22,0.0,131.741,0.541375,1.10899,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1818813693,11.3849,11.3644,0.0,2.77345e-22,0.0,131.741,0.542369,1.10873,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1819313738,11.2962,11.3653,0.0,1.01001e-22,0.0,131.741,0.542687,1.10864,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1819813667,11.3849,11.367,0.0,3.67814e-23,0.0,131.741,0.543348,1.10847,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1820313713,11.3948,11.369,0.0,1.33947e-23,0.0,131.741,0.544067,1.10828,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1820813738,11.3849,11.371,0.0,4.87794e-24,0.0,131.741,0.544822,1.10808,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
1821313667,11.3948,11.371,0.0,1.7764e-24,0.0,131.741,0.544802,1.10809,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
