timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1816794029,5.26743,0.0,0,0,1,0,0,0,0
1817304031,5.27065,0.0,0,0,1,0,0,0,0
1817804041,5.2771,0.0,0,0,1,0,0,0,0
1818304097,5.27065,0.0,0,0,1,0,0,0,0
1818804029,5.2771,0.0,0,0,1,0,0,0,0
1819314444,5.26099,0.0,0,0,1,0,0,0,0
1819814029,5.2771,0.0,0,0,1,0,0,0,0
1820314061,5.21587,0.0,0,0,1,0,0,0,0
1820814866,5.28032,0.0,0,0,1,0,0,0,0
1821314034,5.28355,0.0,0,0,1,0,0,0,0
1821814084,5.26099,0.0,0,0,1,0,0,0,0
1822314038,5.27871,0.0,0,0,1,0,0,0,0
1822824176,5.28032,0.0,0,0,1,0,0,0,0
1823324054,5.2771,0.0,0,0,1,0,0,0,0
1823824035,5.27549,0.0,0,0,1,0,0,0,0
1824324031,5.27388,0.0,0,0,1,0,0,0,0
1824824057,5.27065,0.0,0,0,1,0,0,0,0
1825324126,5.27871,0.0,0,0,1,0,0,0,0
1825824032,5.28032,0.0,0,0,1,0,0,0,0
1826334799,5.24971,0.0,0,0,1,0,0,0,0
1826834029,5.27227,0.0,0,0,1,0,0,0,0
1827334031,5.20298,0.0,0,0,1,0,0,0,0
1827835261,5.27871,0.0,0,0,1,0,0,0,0
1828334030,5.27388,0.0,0,0,1,0,0,0,0
1828834029,5.2771,0.0,0,0,1,0,0,0,0
1829334420,5.27871,0.0,0,0,1,0,0,0,0
1829834029,5.27388,0.0,0,0,1,0,0,0,0
1830335372,5.28032,0.0,0,0,1,0,0,0,0
1830844029,5.26743,0.0,0,0,1,0,0,0,0
1831345007,5.24971,0.0,0,0,1,0,0,0,0
1831844067,5.21265,0.0,0,0,1,0,0,0,0
1832344105,5.2771,0.0,0,0,1,0,0,0,0
1832844023,5.27227,0.0,0,0,1,0,0,0,0
1833344029,5.28032,0.0,0,0,1,0,0,0,0
1833854623,5.27549,0.0,0,0,1,0,0,0,0
1834354082,5.27227,0.0,0,0,1,0,0,0,0
1834854031,5.26743,0.0,0,0,1,0,0,0,0
1835354038,5.27227,0.0,0,0,1,0,0,0,0
1835854029,5.21104,0.0,0,0,1,0,0,0,0
1836364029,5.26421,0.0,0,0,1,0,0,0,0
1836864101,5.2771,0.0,0,0,1,0,0,0,0
1837364040,5.27871,0.0,0,0,1,0,0,0,0
1837864031,5.2771,0.0,0,0,1,0,0,0,0
1838364044,5.28032,0.0,0,0,1,0,0,0,0
1838864360,5.27871,0.0,0,0,1,0,0,0,0
1839374032,5.27388,0.0,0,0,1,0,0,0,0
1839874033,5.21265,0.0,0,0,1,0,0,0,0
1840374853,5.2771,0.0,0,0,1,0,0,0,0
1840874029,5.2771,0.0,0,0,1,0,0,0,0
1841374029,5.27871,0.0,0,0,1,0,0,0,0
1841874066,5.2771,0.0,0,0,1,0,0,0,0
1842374388,5.27549,0.0,0,0,1,0,0,0,0
1842874029,5.26743,0.0,0,0,1,0,0,0,0
1843374467,5.28032,0.0,0,0,1,0,0,0,0
1843874029,5.27388,0.0,0,0,1,0,0,0,0
1844374069,5.25132,0.0,0,0,1,0,0,0,0
