timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
1816639742,0.00968684,0.0231348,0.00658637,1
1816812556,0.00968684,0.0231348,0.00658637,1
1817013342,0.00968684,0.0231348,0.00658637,1
1817210145,0.00968684,0.0231348,0.00658637,1
1817396542,0.00968684,0.0231348,0.00658637,1
1817613342,0.00968684,0.0231348,0.00658637,1
1817814942,0.00968684,0.0231348,0.00658637,1
1818014146,0.00968684,0.0231348,0.00658637,1
1818219742,0.00968684,0.0231348,0.00658637,1
1818404542,0.00968684,0.0231348,0.00658637,1
1818605342,0.00968684,0.0231348,0.00658637,1
1818806142,0.00968684,0.0231348,0.00658637,1
1819003742,0.00968684,0.0231348,0.00658637,1
1819204545,0.00968684,0.0231348,0.00658637,1
1819413504,0.00968684,0.0231348,0.00658637,1
1819615081,0.00968684,0.0231348,0.00658637,1
1819807742,0.00968684,0.0231348,0.00658637,1
1820002142,0.00968684,0.0231348,0.00658637,1
1820210304,0.00968684,0.0231348,0.00658637,1
1820410942,0.00968684,0.0231348,0.00658637,1
1820607742,0.00968684,0.0231348,0.00658637,1
1820805342,0.00968684,0.0231348,0.00658637,1
1821005342,0.00968684,0.0231348,0.00658637,1
1821214942,0.00968684,0.0231348,0.00658637,1
1821412577,0.00968684,0.0231348,0.00658637,1
1821613342,0.00968684,0.0231348,0.00658637,1
1821814144,0.00968684,0.0231348,0.00658637,1
1822011742,0.00968684,0.0231348,0.00658637,1
1822219742,0.00968684,0.0231348,0.00658637,1
1822405377,0.00968684,0.0231348,0.00658637,1
1822598142,0.00968684,0.0231348,0.00658637,1
1822811742,0.00968684,0.0231348,0.00658637,1
1823011742,0.00968684,0.0231348,0.00658637,1
1823213372,0.00968684,0.0231348,0.00658637,1
1823414172,0.00968684,0.0231348,0.00658637,1
1823611769,0.00968684,0.0231348,0.00658637,1
1823811906,0.00968684,0.0231348,0.00658637,1
1824013346,0.00968684,0.0231348,0.00658637,1
1824214973,0.00968684,0.0231348,0.00658637,1
1824407742,0.00968684,0.0231348,0.00658637,1
1824604573,0.00968684,0.0231348,0.00658637,1
1824809366,0.00968684,0.0231348,0.00658637,1
1825002942,0.00968684,0.0231348,0.00658637,1
1825203742,0.00968684,0.0231348,0.00658637,1
1825404542,0.00968684,0.0231348,0.00658637,1
1825605344,0.00968684,0.0231348,0.00658637,1
1825810945,0.00968684,0.0231348,0.00658637,1
1826011742,0.00968684,0.0231348,0.00658637,1
1826212542,0.00968684,0.0231348,0.00658637,1
1826405369,0.00968684,0.0231348,0.00658637,1
1826606979,0.00968684,0.0231348,0.00658637,1
1826807742,0.00968684,0.0231348,0.00658637,1
1827008542,0.00968684,0.0231348,0.00658637,1
1827209342,0.00968684,0.0231348,0.00658637,1
