timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
911323571,-0.949105,-0.00694049,-0.471955,0.15,0.0,0.0
1957214747,-1.22173,-1.02372,0.521304,0.15,0.0,0.0
1957238848,-0.621724,-1.0472,0.375914,0.763767,0.0,0.0
1957257984,-0.533345,-1.0472,0.325418,0.764303,0.0,0.0
1957278751,-1.22173,-1.0472,0.399865,0.728999,0.0,0.0
1957300057,-1.22173,-1.0472,0.332257,0.728999,0.0,0.0
1957324215,-1.22173,-1.0472,0.253054,0.748534,0.0,0.0
1957348413,-1.22173,-1.0472,0.16332,0.772764,0.0,0.0
1957372518,-1.22173,-1.0472,0.0715995,0.795187,0.0,0.0
1957396463,-1.03417,-1.0472,-0.0338669,0.820111,0.0,0.0
1957420859,-0.778803,-0.97809,-0.13987,0.841914,0.0,0.0
1957439495,-0.552056,-0.864739,-0.217655,0.862971,0.0,0.0
1957460816,-0.330146,-0.748782,-0.286492,0.882437,0.0,0.0
1957484474,-0.0890654,-0.614502,-0.355144,0.896358,0.0,0.0
1957504497,0.111579,-0.504907,-0.379223,0.929318,0.0,0.0
1957525282,0.283077,-0.419465,-0.335578,0.931147,0.0,0.0
1957544777,0.428115,-0.343722,-0.286453,0.955258,0.0,0.0
1957565325,0.466842,-0.30079,-0.280005,0.955258,0.0,0.0
1957589572,0.583801,-0.231027,-0.22231,0.970615,0.0,0.0
1957613703,0.674472,-0.170045,-0.161842,0.983071,0.0,0.0
1957637052,0.75156,-0.113293,-0.100645,0.993513,0.0,0.0
1957656477,0.81777,-0.0649931,-0.0432473,1.0,0.0,0.0
1957677264,0.890269,-0.00254056,-0.0220936,1.0,0.0,0.0
1957701216,0.909288,0.0690776,-0.0242334,1.0,0.0,0.0
1957725748,0.863866,0.128497,-0.0162402,1.0,0.0,0.0
1957744890,0.821237,0.181803,-0.0149045,1.0,0.0,0.0
1957766401,0.776148,0.226219,-0.0149714,1.0,0.0,0.0
1957785155,0.742336,0.263006,-0.020891,1.0,0.0,0.0
1957809276,0.703783,0.287248,-0.0272231,1.0,0.0,0.0
1957830786,0.668379,0.269963,-0.0339415,1.0,0.0,0.0
1957855214,0.644711,0.251517,-0.044445,1.0,0.0,0.0
1957878845,0.631056,0.273719,-0.0502012,1.0,0.0,0.0
1957897965,0.638678,0.282208,-0.0578077,1.0,0.0,0.0
1957919610,0.655257,0.296451,-0.0630595,1.0,0.0,0.0
1957942889,0.670377,0.261929,-0.0717952,1.0,0.0,0.0
1957966596,0.698731,0.219901,-0.0818485,1.0,0.0,0.0
1957985960,0.71156,0.222618,-0.0840548,1.0,0.0,0.0
1958007537,0.719268,0.200073,-0.0926974,1.0,0.0,0.0
1958026843,0.69709,0.22092,-0.0832196,1.0,0.0,0.0
1958050844,0.67354,0.198372,-0.0738062,1.0,0.0,0.0
1958072455,0.604098,0.175871,-0.0578905,1.0,0.0,0.0
1958095969,0.509461,0.125144,-0.0341688,1.0,0.0,0.0
1958114808,0.417828,0.135922,-0.00677123,1.0,0.0,0.0
1958136520,0.302141,0.0898095,0.0251178,1.0,0.0,0.0
1958160296,0.167989,0.0398103,0.0660872,1.0,0.0,0.0
1958184297,0.0477545,0.00653631,0.103471,1.0,0.0,0.0
1958203694,-0.0352699,-0.017349,0.128539,1.0,0.0,0.0
1958225313,-0.0997827,-0.0390591,0.12831,1.0,0.0,0.0
1958243570,-0.13674,-0.0691792,0.132075,1.0,0.0,0.0
1958267575,-0.143651,-0.0789174,0.13261,1.0,0.0,0.0
1958289663,-0.133235,-0.102235,0.135964,1.0,0.0,0.0
1958313686,-0.110344,-0.161882,0.14422,1.0,0.0,0.0
1958332405,-0.0718217,-0.151584,0.140237,1.0,0.0,0.0
1958353213,-0.0174247,-0.162906,0.133017,1.0,0.0,0.0
1958377929,0.0508478,-0.19084,0.112208,1.0,0.0,0.0
1958401216,0.104171,-0.199469,0.09531,1.0,0.0,0.0
1958420464,0.0996613,-0.199304,0.0943795,1.0,0.0,0.0
1958441100,0.056465,-0.21395,0.105203,1.0,0.0,0.0
1958466118,-0.00968968,-0.191638,0.120399,1.0,0.0,0.0
1958489073,-0.0725808,-0.196081,0.131671,1.0,0.0,0.0
1958513184,-0.107573,-0.21216,0.135643,1.0,0.0,0.0
1958534031,-0.112503,-0.253183,0.139271,1.0,0.0,0.0
1958553235,-0.0935582,-0.268103,0.139983,1.0,0.0,0.0
1958574687,-0.0734663,-0.319596,0.144464,0.979717,0.0,0.0
1958598424,-0.0516437,-0.311099,0.138162,1.0,0.0,0.0
1958622698,-0.0388404,-0.300881,0.131217,1.0,0.0,0.0
1958645901,0.00281367,-0.312031,0.116872,1.0,0.0,0.0
1958665185,0.0692051,-0.35798,0.0988464,0.998199,0.0,0.0
1958686538,0.12014,-0.334729,0.0773484,1.0,0.0,0.0
1958705804,0.165364,-0.343346,0.0646302,1.0,0.0,0.0
1958730112,0.192746,-0.374931,0.0571569,0.998317,0.0,0.0
1958751395,0.213123,-0.378122,0.0497912,0.998317,0.0,0.0
1958775552,0.235946,-0.348573,0.0439595,1.0,0.0,0.0
1958799209,0.222826,-0.36159,0.0478657,1.0,0.0,0.0
1958817996,0.208272,-0.329376,0.0526952,1.0,0.0,0.0
1958840144,0.193312,-0.358292,0.0639914,1.0,0.0,0.0
1958864458,0.050644,-0.384567,0.08167,0.992924,0.0,0.0
1958887544,-0.0562211,-0.353671,0.0962069,1.0,0.0,0.0
1958906917,-0.0941914,-0.366058,0.101121,0.996706,0.0,0.0
1958927659,-0.113823,-0.336311,0.098255,1.0,0.0,0.0
1958947659,-0.144868,-0.373314,0.0983454,0.98861,0.0,0.0
1958971659,-0.14615,-0.363969,0.0954537,0.998914,0.0,0.0
1958993028,-0.144484,-0.367711,0.0962219,0.998914,0.0,0.0
1959016764,-0.166552,-0.379041,0.0989553,0.995339,0.0,0.0
1959035616,-0.182594,-0.37661,0.0993147,0.998535,0.0,0.0
1959056450,-0.176429,-0.392135,0.0973737,0.994074,0.0,0.0
1959080366,-0.138724,-0.42623,0.0937505,0.982271,0.0,0.0
1959101797,-0.086542,-0.403738,0.0805592,1.0,0.0,0.0
1959125754,-0.0210983,-0.386107,0.061081,1.0,0.0,0.0
1959144828,0.0504613,-0.426375,0.0365179,0.988093,0.0,0.0
1959165728,0.112929,-0.44885,0.0136188,0.990716,0.0,0.0
1959189666,0.155887,-0.455438,-0.00205596,0.989768,0.0,0.0
1959213316,0.180482,-0.454103,-0.0094571,0.989473,0.0,0.0
1959237673,0.194549,-0.438364,-0.0131125,0.9955,0.0,0.0
1959256409,0.20281,-0.447306,-0.0145508,0.990289,0.0,0.0
1959277051,0.200101,-0.439038,-0.0133118,0.990289,0.0,0.0
1959301745,0.169969,-0.422256,-0.00715188,0.996547,0.0,0.0
1959325951,0.142675,-0.450264,0.00456082,0.98257,0.0,0.0
1959350051,0.108196,-0.436128,0.0188085,0.989434,0.0,0.0
1959373930,0.101036,-0.439129,0.0224394,0.987929,0.0,0.0
1959398590,0.110831,-0.431676,0.0190813,0.991119,0.0,0.0
1959423534,0.116662,-0.441652,0.0172628,0.987726,0.0,0.0
1959447477,0.105367,-0.460006,0.0226509,0.980915,0.0,0.0
1959465962,0.0718242,-0.435682,0.0287507,0.991612,0.0,0.0
1959487325,0.0457755,-0.449187,0.0396469,0.987262,0.0,0.0
1959511320,0.00958451,-0.430748,0.0522125,0.995907,0.0,0.0
1959535313,-0.0310385,-0.456516,0.0657388,0.986889,0.0,0.0
1959554387,-0.0634316,-0.466484,0.0712451,0.98368,0.0,0.0
1959576010,-0.0910401,-0.492912,0.0781474,0.973345,0.0,0.0
1959595212,-0.10828,-0.476053,0.0788016,0.98216,0.0,0.0
1959618821,-0.129764,-0.495355,0.0765418,0.976852,0.0,0.0
1959640163,-0.118539,-0.502984,0.0746863,0.976852,0.0,0.0
1959665017,-0.084069,-0.514502,0.0682103,0.974135,0.0,0.0
1959687684,-0.0308066,-0.542825,0.0586687,0.963218,0.0,0.0
1959707597,0.0169569,-0.514713,0.0419494,0.985289,0.0,0.0
1959728754,0.0672208,-0.545521,0.0245288,0.955972,0.0,0.0
1959752840,0.12304,-0.513135,0.00320303,0.96908,0.0,0.0
1959776830,0.169131,-0.519936,-0.0130998,0.961188,0.0,0.0
1959795657,0.179783,-0.499699,-0.0226196,0.965033,0.0,0.0
1959817014,0.196951,-0.496171,-0.02763,0.961406,0.0,0.0
1959840933,0.193905,-0.498677,-0.0249912,0.956461,0.0,0.0
1959865904,0.156366,-0.505416,-0.00923339,0.950325,0.0,0.0
1959888396,0.1083,-0.477807,0.00958044,0.993466,0.0,0.0
1959909211,0.0886856,-0.489909,0.0176627,0.953592,0.0,0.0
1959928378,0.0925414,-0.498574,0.016757,0.94769,0.0,0.0
1959949274,0.109265,-0.49904,0.0104351,0.94769,0.0,0.0
1959973553,0.116428,-0.487677,0.00158219,0.950395,0.0,0.0
1959998549,0.132144,-0.492703,-0.00366324,0.943961,0.0,0.0
1960022087,0.153632,-0.510333,-0.0111269,0.932181,0.0,0.0
1960045891,0.174821,-0.473539,-0.0176832,0.948027,0.0,0.0
1960065276,0.201109,-0.459371,-0.0263993,0.94982,0.0,0.0
1960086427,0.220011,-0.482218,-0.0330513,0.932966,0.0,0.0
1960109912,0.220497,-0.449439,-0.0305349,0.947794,0.0,0.0
1960133932,0.209968,-0.45632,-0.0257542,0.94298,0.0,0.0
1960157835,0.167791,-0.469802,-0.0159195,0.937456,0.0,0.0
1960177143,0.143172,-0.452303,-0.00543974,0.944846,0.0,0.0
1960198053,0.12409,-0.438655,0.00278464,0.95108,0.0,0.0
1960222699,0.127793,-0.451469,0.00150433,0.944583,0.0,0.0
1960246478,0.155021,-0.43854,-0.00820063,0.952054,0.0,0.0
1960271332,0.193043,-0.471564,-0.0219845,0.93517,0.0,0.0
1960295379,0.248639,-0.451961,-0.0411071,0.948265,0.0,0.0
1960318906,0.310098,-0.450565,-0.0607739,0.947862,0.0,0.0
1960338361,0.329994,-0.444233,-0.063555,0.948015,0.0,0.0
1960358664,0.356613,-0.436767,-0.0676728,0.948015,0.0,0.0
1960382665,0.3734,-0.456156,-0.0727366,0.924595,0.0,0.0
1960407397,0.364506,-0.477924,-0.0732653,0.886446,0.0,0.0
1960431231,0.339485,-0.503063,-0.0704687,0.851144,0.0,0.0
1960451992,0.314018,-0.528416,-0.0618518,0.833786,0.0,0.0
1960471619,0.286513,-0.550255,-0.0500091,0.83857,0.0,0.0
1960492936,0.262301,-0.578921,-0.0393731,0.781918,0.0,0.0
1960511585,0.238731,-0.604434,-0.0278642,0.768238,0.0,0.0
1960535959,0.197326,-0.628937,-0.0164137,0.74858,0.0,0.0
1960557209,0.173343,-0.652854,-0.0038534,0.728293,0.0,0.0
1960581318,0.125346,-0.677052,0.0195648,0.716798,0.0,0.0
1960599717,0.0732336,-0.699957,0.0458261,0.701438,0.0,0.0
1960624065,0.018694,-0.718528,0.0732797,0.689279,0.0,0.0
1960645180,-0.0121617,-0.710595,0.0877405,0.689279,0.0,0.0
1960669576,-0.0224647,-0.735381,0.0936718,0.674865,0.0,0.0
1960693280,-0.0248185,-0.758015,0.0960462,0.666964,0.0,0.0
1960717657,-0.0251162,-0.776849,0.0986855,0.659607,0.0,0.0
1960736336,-0.032591,-0.794469,0.103764,0.652264,0.0,0.0
1960758370,-0.06522,-0.805799,0.106265,0.645786,0.0,0.0
1960781956,-0.079856,-0.809945,0.111958,0.639967,0.0,0.0
1960806447,-0.0675072,-0.814003,0.107484,0.634936,0.0,0.0
1960830394,-0.0542045,-0.816385,0.103805,0.631019,0.0,0.0
1960854165,-0.0463725,-0.8196,0.102795,0.625709,0.0,0.0
1960873163,-0.0365834,-0.822054,0.100547,0.623612,0.0,0.0
1960894048,-0.0277509,-0.825802,0.0981263,0.62301,0.0,0.0
1960917929,-0.0214515,-0.823813,0.0974829,0.620609,0.0,0.0
