timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,health_flags,timeout_flags
1816796542,-0.929842,-0.0142028,0.0382422,0.365692,0.239862,-0.00202447,-0.0445196,-4.37321,0.37794,1.71469,-2.55287e-05,7.27733e-05,-5.23026e-05,0.00125628,-0.000275012,-0.0019582,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,3.83081e-08,5.88251e-05,0.00108448,6.10481e-06,3.54175e-06,3.50479e-06,3.13523e-05,0.0118752,0.0117531,0.00806965,0.0433105,0.0431775,0.0467787,1.19436e-11,1.21988e-11,1.83326e-11,5.00001e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.294088,0.216284,0.168098,0.0606245,0.115171,0.000675451,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1816997464,-0.931043,0.00563998,0.0416474,0.362481,0.371991,-0.036641,-0.0189984,-4.30156,0.328742,1.6993,-2.54414e-05,7.27762e-05,-5.27038e-05,0.0012519,-0.00027931,-0.00195433,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,5.35273e-08,6.90708e-05,0.00108995,6.02395e-06,3.5441e-06,3.49652e-06,3.14277e-05,0.0115784,0.0114973,0.00802374,0.0426827,0.042554,0.0464988,1.20065e-11,1.22591e-11,1.83346e-11,5e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.291953,0.215636,0.14439,0.0399937,0.0982033,0.012099,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1817202142,-0.925437,-0.0163744,0.0477377,0.375526,0.166666,-0.0652502,0.0187979,-4.23699,0.271223,1.68671,-2.53491e-05,7.2785e-05,-5.31321e-05,0.00124585,-0.000282918,-0.00194506,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,4.8415e-08,6.54648e-05,0.00109418,6.43108e-06,3.5754e-06,3.51469e-06,3.10212e-05,0.0114213,0.0113467,0.00802325,0.0424465,0.0423222,0.0465701,1.20798e-11,1.23296e-11,1.83462e-11,5.00001e-08,5.00001e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.291151,0.215801,0.207869,0.0634111,0.0957481,0.0246746,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1817404542,-0.927467,-0.0221723,0.0337949,0.371713,0.091463,-0.0721391,-0.00933866,-4.21517,0.223018,1.70622,-2.52721e-05,7.27478e-05,-5.3614e-05,0.00124234,-0.000286048,-0.00195428,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,3.19806e-08,5.03437e-05,0.00114091,6.33706e-06,3.55762e-06,3.53905e-06,3.11376e-05,0.0112757,0.0112201,0.00799749,0.0418222,0.0417064,0.0463442,1.21448e-11,1.23918e-11,1.83487e-11,5.00001e-08,5.00001e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.289013,0.215277,0.195844,0.0498879,0.0937796,0.0269035,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1817605342,-0.926674,-0.0161463,0.0402467,0.373356,0.0578417,-0.0806358,0.0178255,-4.19798,0.168638,1.71384,-2.52085e-05,7.27431e-05,-5.40011e-05,0.00123828,-0.000290825,-0.00196228,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,2.12937e-08,3.8738e-05,0.000902722,6.39965e-06,3.59652e-06,3.55594e-06,3.10735e-05,0.0111801,0.0111433,0.00794472,0.0413768,0.0412704,0.0457332,1.22151e-11,1.24594e-11,1.83565e-11,5.00002e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.287484,0.213853,0.113078,0.0302476,0.0984293,0.0304195,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1817806945,-0.924533,-0.0252284,0.0431178,0.377813,0.039671,-0.0875575,0.0337385,-4.18319,0.117808,1.72992,-2.51734e-05,7.27306e-05,-5.43855e-05,0.00123625,-0.000295788,-0.00196886,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,1.6767e-08,3.49259e-05,0.000855104,6.55065e-06,3.63303e-06,3.59616e-06,3.09091e-05,0.0111073,0.0110867,0.00794061,0.0408767,0.0407817,0.0456544,1.22816e-11,1.2523e-11,1.83619e-11,5.00003e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.285759,0.213669,0.202398,0.0163609,0.0942119,0.023146,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1818005362,-0.922331,-0.0349919,0.0413101,0.38259,0.0311491,-0.0930579,0.0291644,-4.17438,0.0700132,1.73157,-2.51318e-05,7.2695e-05,-5.48484e-05,0.00123413,-0.000298279,-0.00196623,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,1.41083e-08,3.64016e-05,0.00105294,6.71775e-06,3.6655e-06,3.65156e-06,3.07336e-05,0.0110837,0.011076,0.00794567,0.0404351,0.0403521,0.0456202,1.23488e-11,1.25872e-11,1.83692e-11,5.00004e-08,5.00001e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.284231,0.213589,0.260618,0.0400319,0.0890161,0.0159044,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1818211742,-0.921726,-0.0309059,0.0376173,0.384775,0.0265492,-0.095071,0.0256886,-4.17623,0.0233323,1.74389,-2.50788e-05,7.26379e-05,-5.53607e-05,0.00123171,-0.00029931,-0.00197261,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,1.0293e-08,3.19423e-05,0.00118171,6.79682e-06,3.70454e-06,3.69005e-06,3.06321e-05,0.0111128,0.011116,0.00798139,0.0401464,0.040076,0.045768,1.24166e-11,1.26515e-11,1.83677e-11,5.00006e-08,5.00001e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.283236,0.213935,0.148014,0.0265382,0.0813603,0.0187982,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1818412542,-0.922411,-0.034819,0.034038,0.383128,-0.00172875,-0.114083,0.0282894,-4.1798,-0.0225972,1.74664,-2.50425e-05,7.25844e-05,-5.58541e-05,0.00122933,-0.000300552,-0.00197321,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,9.62813e-09,3.09958e-05,0.00092556,6.76858e-06,3.73945e-06,3.74046e-06,3.06606e-05,0.0110847,0.0110987,0.00797807,0.0395466,0.0394894,0.045615,1.24698e-11,1.27015e-11,1.83664e-11,5.00005e-08,5.00001e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.281134,0.213577,0.194688,0.0298738,0.0804823,0.00660168,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1818613342,-0.925139,-0.0377464,0.0344331,0.376176,-0.0227499,-0.121394,0.0205854,-4.19228,-0.0670484,1.75573,-2.50104e-05,7.25121e-05,-5.6332e-05,0.00122804,-0.000301765,-0.00197748,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,1.01955e-08,3.19874e-05,0.000953142,6.58029e-06,3.79024e-06,3.79657e-06,3.08467e-05,0.0111102,0.0111323,0.00798372,0.0391467,0.0391022,0.0455791,1.25254e-11,1.27538e-11,1.83698e-11,5.00006e-08,5.00001e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.27973,0.213493,0.227801,0.0507974,0.0792314,0.0159018,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
1818822942,-0.929481,-0.0265478,0.0345315,0.366288,-0.0107301,-0.12661,0.0113542,-4.20484,-0.115007,1.76567,-2.49857e-05,7.24497e-05,-5.67973e-05,0.0012264,-0.000303377,-0.00198297,0.211216,0.0953701,-0.256305,0.0070676,0.0215316,0.0260031,-5.10321,2.19336,9.77546e-09,3.57948e-05,0.00125953,6.30479e-06,3.85398e-06,3.83635e-06,3.11675e-05,0.0112178,0.0112439,0.00798123,0.0390999,0.0390677,0.045268,1.25838e-11,1.2809e-11,1.83787e-11,5.00007e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131607,0.279585,0.212763,0.209434,0.0467435,0.0789599,0.01257,0.291694,0.0478173,0.10541,0.075702,0,0,32,831,24,0,0,0,0,0,0
