timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1817955152,-6.95105,-6.86174,6.72419,1.0
1817966082,-6.94648,-6.85738,6.71991,1.0
1817976998,-6.94229,-6.85307,6.71991,1.0
1817988023,-6.93849,-6.84934,6.72134,1.0
1817999293,-6.93504,-6.84604,6.72134,1.0
1818010385,-6.93102,-6.84209,6.72562,1.0
1818021286,-6.92485,-6.83601,6.71562,1.0
1818032162,-6.91699,-6.82822,6.71276,1.0
1818042892,-6.91023,-6.82163,6.72277,1.0
1818054011,-6.9061,-6.81736,6.71276,1.0
1818065002,-6.90362,-6.81489,6.71276,1.0
1818075930,-6.90185,-6.81346,6.71991,1.0
1818086838,-6.90111,-6.81286,6.7442,1.0
1818097825,-6.90176,-6.81325,6.72134,1.0
1818108756,-6.90394,-6.81535,6.71705,1.0
1818119668,-6.90776,-6.81899,6.72562,1.0
1818130620,-6.91297,-6.82422,6.71848,1.0
1818141648,-6.92047,-6.83228,6.77565,1.0
1818152762,-6.93123,-6.84291,6.77565,1.0
1818163702,-6.94509,-6.85638,6.76993,1.0
1818174884,-6.96161,-6.87284,6.78422,1.0
1818185678,-6.97934,-6.89042,6.78279,1.0
1818196794,-6.997,-6.90733,6.71705,1.0
1818207689,-7.01516,-6.92532,6.72277,1.0
1818218614,-7.03266,-6.94249,6.71991,1.0
1818229557,-7.04608,-6.95585,6.72848,1.0
1818240511,-7.05496,-6.96431,6.71562,1.0
1818251370,-7.06171,-6.97162,6.77279,1.0
1818262402,-7.06783,-6.97773,6.77279,1.0
1818273320,-7.07354,-6.98333,6.76993,1.0
1818284475,-7.07964,-6.9885,6.70704,1.0
1818295645,-7.08581,-6.99466,6.71276,1.0
1818306663,-7.09006,-6.99897,6.72134,1.0
1818317617,-7.09209,-7.0012,6.73992,1.0
1818328869,-7.09254,-7.00167,6.72848,1.0
1818339910,-7.09076,-6.99978,6.73134,1.0
1818350862,-7.08557,-6.9945,6.71848,1.0
1818361730,-7.0776,-6.98662,6.71848,1.0
1818372470,-7.06908,-6.97899,6.77708,1.0
1818383946,-7.06052,-6.97058,6.76993,1.0
1818395158,-7.05126,-6.96074,6.71419,1.0
1818406082,-7.04105,-6.95076,6.72134,1.0
1818416992,-7.02972,-6.93938,6.71991,1.0
