timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
1816469948,40.4364943689,-86.8936753957,155.537,-4.44014,0.491235,1.76086,-0.780139,1,1,0
2051482562,40.4374726209,-86.8927331971,153.801,104.337,80.2314,3.49667,0.283704,1,1,0
