timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
1791241974,23,-1,0,12,0,0,1,0,0,0,0,0,0,0
1943577860,24,-1,0,12,0,0,1,0,0,0,0,0,0,0
1957268288,24,-1,0,12,0,0,1,0,0,0,0,0,0,0
1958828156,24,0,1,12,0,0,1,0,0,0,0,0,0,0
1968629699,24,1,2,12,0,0,1,0,0,0,0,0,0,0
1975574869,24,2,3,12,0,0,1,0,0,0,0,0,0,0
1977249799,24,3,4,12,0,0,1,0,0,0,0,0,0,0
1982250613,24,4,5,12,0,0,1,0,0,0,0,0,0,0
1987104794,24,5,6,12,0,0,1,0,0,0,0,0,0,0
1987153784,24,6,7,12,0,0,1,0,0,0,0,0,0,0
1987213299,24,7,8,12,0,0,1,0,0,0,0,0,0,0
1987266621,24,8,9,12,0,0,1,0,0,0,0,0,0,0
1987328952,24,9,10,12,0,0,1,0,0,0,0,0,0,0
2000716420,24,10,11,12,0,0,1,0,0,0,0,0,0,0
2045385181,24,11,11,12,0,0,1,0,1,0,0,0,0,0
2051581590,25,-1,0,12,0,0,1,0,0,0,0,0,0,0
