timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1818920002,1818919891,-0.196408,0.0915981,0.20382
1818943199,1818942968,-0.19529,0.0990933,0.206209
1818964012,1818963897,-0.208028,0.0956714,0.199009
1818987964,1818987742,-0.199119,0.0795046,0.190624
1819011970,1819011742,-0.168245,0.0498112,0.185131
1819032768,1819032555,-0.128086,0.0249347,0.172889
1819052751,1819052543,-0.107118,0.00368981,0.167797
1819076755,1819076543,-0.0940158,-0.0252182,0.167087
1819100762,1819100543,-0.0598978,-0.03577,0.157507
1819124761,1819124547,-0.039346,-0.0526087,0.142505
1819143983,1819143746,-0.0272933,-0.055597,0.130265
1819165559,1819165343,-0.00160698,-0.0636621,0.119038
1819187159,1819186942,-0.0268085,-0.0595531,0.128418
1819208772,1819208545,-0.00409863,-0.0529613,0.132316
1819229557,1819229343,0.011248,-0.0580746,0.127167
1819251158,1819250942,-0.00910213,-0.0535881,0.110056
1819269563,1819269342,-0.0315215,-0.0475205,0.100148
1819291156,1819290942,-0.0606088,-0.0350295,0.101146
1819313575,1819313342,-0.0519383,-0.022801,0.100416
1819333569,1819333342,-0.0251252,-0.017376,0.104267
1819354366,1819354143,-0.00676826,-0.0207056,0.106747
1819375957,1819375742,0.00379682,-0.0270897,0.100292
1819397573,1819397342,0.00986735,-0.0464625,0.0917149
1819417575,1819417342,0.0122549,-0.0591568,0.0774268
1819438354,1819438143,-0.0012117,-0.0687768,0.0647262
1819458380,1819458156,-0.00819938,-0.0821708,0.0577691
1819479160,1819478952,-0.0235507,-0.0959953,0.0538495
1819502381,1819502142,-0.0466642,-0.110478,0.0534651
1819522395,1819522142,-0.0730954,-0.112991,0.0597485
1819542413,1819542302,-0.0929103,-0.109142,0.0647466
1819564778,1819564573,-0.11372,-0.107089,0.0660302
1819586369,1819586142,-0.117919,-0.101123,0.0597439
1819607169,1819606942,-0.100407,-0.107147,0.0504663
1819628783,1819628579,-0.102276,-0.123313,0.0427469
1819647954,1819647743,-0.0849315,-0.136528,0.034078
1819671947,1819671743,-0.0592079,-0.134714,0.0254957
1819695175,1819694942,-0.038273,-0.127997,0.0136282
1819715978,1819715762,-0.008341,-0.113779,0.00762476
1819737554,1819737342,0.013369,-0.104728,0.00146696
1819757546,1819757342,0.0445757,-0.0887807,-0.000360757
1819779166,1819778942,0.0744205,-0.0783083,-0.00570382
1819799991,1819799759,0.100966,-0.0720262,-0.0170724
1819821523,1819821342,0.106792,-0.0594841,-0.0260875
1819842372,1819842142,0.0850412,-0.051369,-0.0343806
1819863969,1819863754,0.0845537,-0.0382978,-0.0366644
1819884776,1819884542,0.0733589,-0.0250688,-0.0326232
1819905566,1819905342,0.0592375,-0.00826136,-0.0235891
1819928769,1819928553,0.0258385,0.00687204,-0.0138099
1819951189,1819950998,-0.00513779,0.0100251,-0.00918777
1819969557,1819969342,-0.0213189,0.00653732,-0.00892224
1819991145,1819990954,-0.0244161,-0.00115348,-0.0117901
1820015207,1820014951,-0.011797,-0.013882,-0.0180766
1820033559,1820033342,-0.00602712,-0.01184,-0.0182044
1820055177,1820054972,-0.00998489,-0.00631949,-0.0210654
1820075959,1820075775,-0.00205374,-0.00685004,-0.0179525
1820096784,1820096568,0.0117812,-0.0133281,-0.0107415
1820117591,1820117488,0.0233256,-0.0141403,-0.00697964
1820139953,1820139756,0.031459,-0.00256342,-0.00610087
1820158383,1820158144,0.0314606,0.00801548,-0.0122213
1820181559,1820181345,0.0358223,0.0205972,-0.0155889
1820202369,1820202142,0.0275712,0.0228394,-0.0119479
1820221596,1820221497,0.0251138,0.026635,-0.00792244
1820243961,1820243743,0.0011954,0.0283117,0.00469279
1820264720,1820264542,-0.0128181,0.0315657,0.0170981
1820286384,1820286142,-0.0359667,0.0254824,0.0244581
1820306367,1820306142,-0.0767868,0.0122626,0.0290679
1820328735,1820328542,-0.0421608,-0.00468748,0.0656908
1820349569,1820349470,-0.0144061,-0.0119897,0.072611
1820371193,1820370969,0.0273681,-0.00392824,0.0678737
1820395194,1820394969,0.0793963,0.0276262,0.0600355
1820419994,1820419895,0.128618,0.0562874,0.0660946
1820439177,1820438942,0.154847,0.0875275,0.0804458
1820462413,1820462308,0.203289,0.109139,0.103783
1820481564,1820481467,0.24645,0.101808,0.126978
1820505574,1820505473,0.324377,0.088969,0.148491
1820529561,1820529343,0.382147,0.0741845,0.158501
1820551210,1820551109,0.443852,0.0582265,0.161671
1820571965,1820571742,0.49405,0.0471095,0.151772
1820592738,1820592535,0.505092,0.0255002,0.142729
1820616779,1820616569,0.50682,-0.00401032,0.123741
1820640764,1820640543,0.487601,-0.0340966,0.113059
1820659975,1820659751,0.454763,-0.0526071,0.115354
1820680736,1820680542,0.41099,-0.0649722,0.11902
1820703975,1820703749,0.363795,-0.0647752,0.127936
1820724770,1820724542,0.345367,-0.0610711,0.137132
1820744769,1820744542,0.347005,-0.0370911,0.143068
1820765561,1820765342,0.347356,-0.00422808,0.149873
1820787147,1820786961,0.325555,0.0453809,0.148218
1820808768,1820808549,0.298868,0.073338,0.145388
1820831125,1820830943,0.289743,0.0765277,0.134663
1820855163,1820854947,0.241829,0.0653059,0.128206
1820878354,1820878143,0.199824,0.0600049,0.126987
1820897597,1820897371,0.155441,0.0607691,0.138733
1820918380,1820918170,0.0448682,0.0336593,0.144698
1820942375,1820942164,-0.0405493,0.00173078,0.154989
1820966394,1820966296,-0.113176,-0.0390782,0.174162
1820985556,1820985342,-0.151381,-0.0549698,0.18961
1821007929,1821007742,-0.193594,-0.0636142,0.202174
1821026377,1821026166,-0.195273,-0.0703146,0.2107
1821048721,1821048542,-0.168456,-0.0752437,0.228401
1821070379,1821070142,-0.0820621,-0.0767734,0.245464
1821095181,1821094968,0.0167285,-0.067066,0.276435
1821119957,1821119743,0.118478,-0.05871,0.296854
1821143164,1821142942,0.221371,-0.0462627,0.288037
1821162401,1821162302,0.321864,-0.0487518,0.271748
1821184770,1821184545,0.396127,-0.0515959,0.229161
1821207956,1821207747,0.408908,-0.0495483,0.175695
1821227155,1821226942,0.420927,-0.0566736,0.127932
1821247989,1821247773,0.44244,-0.0755364,0.0826526
1821269521,1821269343,0.375124,-0.102316,0.0575964
1821291163,1821290956,0.312339,-0.111301,0.0366902
1821311986,1821311766,0.247392,-0.101963,0.0167869
1821331980,1821331745,0.215311,-0.0801593,-0.0248966
1821354373,1821354142,0.159825,-0.0295842,-0.0628065
1821372755,1821372543,0.102576,0.00210331,-0.0733877
1821398341,1821398145,0.0602916,0.0420264,-0.064167
