timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous.allow_weather_vane,previous._padding0[0],previous._padding0[1],previous._padding0[2],previous._padding0[3],previous._padding0[4],previous._padding0[5],previous._padding0[6],current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current.allow_weather_vane,current._padding0[0],current._padding0[1],current._padding0[2],current._padding0[3],current._padding0[4],current._padding0[5],current._padding0[6],next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next.allow_weather_vane,next._padding0[0],next._padding0[1],next._padding0[2],next._padding0[3],next._padding0[4],next._padding0[5],next._padding0[6]
911357834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4357907381,-86.8922576049,0.0,0.0,0.0,0.0,0.0,0.0,175.884,nan,0.0,75.0,0.0,0.0,0.0,0.0,124.451,-1.0,-1.0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957268284,0,40.4357907381,-86.8922576049,0.0,0.0,0.0,0.0,0.0,0.0,175.884,nan,0.0,75.0,0.0,0.0,0.0,0.0,124.451,-1.0,-1.0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1958828152,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4379768372,-86.8921661377,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1958990056,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4379768372,-86.8921661377,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1959207335,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4379768372,-86.8921661377,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1959431698,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4379768372,-86.8921661377,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1959601623,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4379768372,-86.8921661377,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1959826011,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4379768372,-86.8921661377,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1959991241,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4379768372,-86.8921661377,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1960216139,0,40.4364814758,-86.8931350708,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4374580383,-86.8930892944,0.0,0.0,0.0,0.0,0.0,0.0,185.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,40.4379768372,-86.8921661377,0.0,0.0,0.0,0.0,0.0,0.0,195.537,nan,0.0,75.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
