timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
1848265701,1848265050,1200.0,0.588899,0.0208117,1.03167,0.0,255,0,6,4,0,0,0,1,1,1,34
1849275415,1848265050,1200.0,0.588899,0.020944,1.24866,0.0,255,0,6,4,0,0,0,1,1,1,34
1849325264,1849316913,1200.0,0.588899,0.020944,1.24866,0.0,255,0,6,4,0,0,0,1,1,1,34
1850328161,1849316913,1200.0,0.588899,0.020979,0.952048,0.0,255,0,6,4,0,0,0,1,1,1,34
1850338865,1850335226,1200.0,0.588899,0.020979,0.952048,0.0,255,0,6,4,0,0,0,1,1,1,34
1851345062,1850335226,1200.0,0.588899,0.0209513,1.11541,0.0,255,0,6,4,0,0,0,1,1,1,34
1851385186,1851383346,1200.0,0.588899,0.0209513,1.11541,0.0,255,0,6,4,0,0,0,1,1,1,34
1852296465,1852293124,1200.0,0.588899,0.020899,0.93747,0.0,255,0,6,4,0,0,0,1,1,1,34
1853306839,1852293124,1200.0,0.588899,0.0468423,1.27571,0.0,255,0,6,4,0,0,0,1,1,1,34
1853326529,1853325085,1200.0,0.588899,0.0468423,1.27571,0.0,255,0,6,4,0,0,0,1,1,1,34
1854332197,1853325085,1200.0,0.588899,0.0209844,1.0762,0.0,255,0,6,4,0,0,0,1,1,1,34
1854394562,1854387452,1200.0,0.588899,0.0209844,1.0762,0.0,255,0,6,4,0,0,0,1,1,1,34
1855316328,1855309069,1200.0,0.588899,0.0209018,1.0212,0.0,255,0,6,4,0,0,0,1,1,1,34
1856317059,1856308432,1200.0,0.588899,0.0208091,1.13261,0.0,255,0,6,4,0,0,0,1,1,1,34
1857320233,1856308432,1200.0,0.588899,0.0209767,1.00888,0.0,255,0,6,4,0,0,0,1,1,1,34
1857380139,1857370561,1200.0,0.588899,0.0209767,1.00888,0.0,255,0,6,4,0,0,0,1,1,1,34
1858309139,1858301041,1200.0,0.588899,0.0209993,1.05897,0.0,255,0,6,4,0,0,0,1,1,1,34
1859309184,1859301992,1200.0,0.588899,0.0207821,1.09254,0.0,255,0,6,4,0,0,0,1,1,1,34
1860311298,1859301992,1200.0,0.588899,0.0209322,1.02867,0.0,255,0,6,4,0,0,0,1,1,1,34
1860395337,1860390053,1200.0,0.588899,0.0209322,1.02867,0.0,255,0,6,4,0,0,0,1,1,1,34
1861296063,1861295244,1200.0,0.588899,0.0208481,1.14863,0.0,255,0,6,4,0,0,0,1,1,1,34
1862301223,1862299984,1200.0,0.588899,0.0208141,0.943574,0.0,255,0,6,4,0,0,0,1,1,1,34
1863305025,1862299984,1200.0,0.588899,0.0465904,1.22225,0.0,255,0,6,4,0,0,0,1,1,1,34
1863374679,1863373967,1200.0,0.588899,0.0465904,1.22225,0.0,255,0,6,4,0,0,0,1,1,1,34
1864269070,1864267363,1200.0,0.588899,0.0209729,1.01868,0.0,255,0,6,4,0,0,0,1,1,1,34
1865271308,1864267363,1200.0,0.588899,0.0209916,1.12255,0.0,255,0,6,4,0,0,0,1,1,1,34
1865291461,1865283993,1200.0,0.588899,0.0209916,1.12255,0.0,255,0,6,4,0,0,0,1,1,1,34
1866298069,1865283993,1200.0,0.588899,0.0207849,1.15802,0.0,255,0,6,4,0,0,0,1,1,1,34
1866338063,1866333989,1200.0,0.588899,0.0207849,1.15802,0.0,255,0,6,4,0,0,0,1,1,1,34
1867346814,1867346582,1200.0,0.588899,0.0209146,1.0298,0.0,255,0,6,4,0,0,0,1,1,1,34
1868351662,1867346582,1200.0,0.588899,0.0207924,1.05348,0.0,255,0,6,4,0,0,0,1,1,1,34
