timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1823478961,40.4364970409,-86.893686653,155.536,124.701,-0.0,-0.0151306,-0.0803647,0.00589463,-0.379325,0.798328,1.66127,0.0,3,0,0,0
1823675742,40.4364971402,-86.8936863767,155.553,124.715,-0.0,-0.00834187,-0.0686992,-0.0508857,-0.348571,0.798398,1.66129,0.0,3,0,0,0
1823884542,40.4364971938,-86.8936860614,155.565,124.723,-0.0,-0.0455561,-0.0612567,0.0686193,-0.312577,0.798607,1.66133,0.0,3,0,0,0
1824085342,40.4364972064,-86.8936857755,155.57,124.725,-0.0,-0.0581072,-0.0474649,0.00888994,-0.31059,0.798652,1.66135,0.0,3,0,0,0
1824287773,40.4364972531,-86.8936854612,155.566,124.719,-0.0,-0.0112752,-0.00780037,0.0272852,-0.312227,0.798721,1.66136,0.0,3,0,0,0
1824487742,40.4364973144,-86.8936850555,155.556,124.708,-0.0,-0.0290532,0.0473905,0.0661016,-0.291812,0.798816,1.66147,0.0,3,0,0,0
1824692542,40.4364973644,-86.8936846614,155.541,124.692,-0.0,-0.0179687,0.0139143,0.0413717,-0.294551,0.799137,1.6616,0.0,3,0,0,0
1824889342,40.4364974321,-86.8936843942,155.531,124.681,-0.0,-0.0358899,0.00305299,-0.0446253,-0.340911,0.798948,1.66154,0.0,3,0,0,0
1825099094,40.4364974039,-86.893684189,155.524,124.674,-0.0,-0.013347,0.0484686,-0.0128464,-0.362203,0.799283,1.66161,0.0,3,0,0,0
1825299742,40.4364974295,-86.8936838502,155.501,124.651,-0.0,-0.00502274,0.0921525,0.123294,-0.297721,0.799357,1.66171,0.0,3,0,0,0
1825501342,40.4364973753,-86.8936835672,155.479,124.629,-0.0,-0.06117,0.0480302,0.0750418,-0.292482,0.799406,1.66167,0.0,3,0,0,0
1825698270,40.4364973586,-86.8936833429,155.466,124.617,-0.0,-0.0303838,0.0769151,0.0906651,-0.300973,0.79947,1.6618,0.0,3,0,0,0
1825907742,40.4364973346,-86.8936831967,155.458,124.61,-0.0,-0.048201,0.0422574,0.0307281,-0.275929,0.799649,1.662,0.0,3,0,0,0
1826107773,40.4364972811,-86.8936831793,155.464,124.617,-0.0,-0.0279784,0.022153,-0.0289987,-0.314342,0.799676,1.66206,0.0,3,0,0,0
1826308542,40.4364972404,-86.893683147,155.453,124.607,-0.0,-0.012818,0.0578275,0.0958332,-0.292876,0.799647,1.6622,0.0,3,0,0,0
1826510271,40.436497136,-86.8936831699,155.433,124.59,-0.0,-0.0692284,-0.0151346,0.0371679,-0.25991,0.799847,1.66229,0.0,3,0,0,0
1826719742,40.4364969815,-86.8936833069,155.429,124.588,-0.0,-0.0749716,-0.00577233,0.0534326,-0.235969,0.800479,1.66223,0.0,3,0,0,0
1826920542,40.4364968695,-86.8936833825,155.424,124.586,-0.0,-0.0558904,0.0157808,0.0642608,-0.185878,0.800865,1.66235,0.0,3,0,0,0
1827121345,40.4364967967,-86.8936834105,155.424,124.589,-0.0,-0.0279752,0.0218566,0.0433968,-0.174061,0.801292,1.66243,0.0,3,0,0,0
1827326942,40.4364967579,-86.8936834251,155.437,124.606,-0.0,-0.0096752,0.0379315,-0.00467887,-0.173839,0.802085,1.66227,0.0,3,0,0,0
1827527762,40.4364967168,-86.8936833847,155.455,124.627,-0.0,-0.0385188,0.0832824,0.025287,-0.172505,0.8025,1.66233,0.0,3,0,0,0
1827728542,40.4364965588,-86.8936833655,155.468,124.643,-0.0,-0.16942,-0.043128,0.00119123,-0.131079,0.803076,1.66226,0.0,3,0,0,0
1827929342,40.4364961159,-86.8936837218,155.497,124.674,-0.0,-0.316158,-0.154181,-0.0321724,-0.0902022,0.803658,1.66224,0.0,3,0,0,0
1828134269,40.4364954356,-86.8936839563,155.52,124.7,-0.0,-0.411915,-0.049904,0.0594589,0.0678733,0.804578,1.66209,0.0,3,0,0,0
1828335745,40.4364945163,-86.8936838777,155.534,124.716,-0.0,-0.517488,0.0107825,0.0612544,0.199533,0.805066,1.66221,0.0,3,0,0,0
1828540542,40.436493534,-86.8936834699,155.555,124.738,-0.0,-0.471124,0.100869,-0.0463114,0.229819,0.806069,1.66218,0.0,3,0,0,0
1828741342,40.4364927542,-86.8936829517,155.584,124.769,-0.0,-0.365918,0.0694259,-0.071898,0.223325,0.806594,1.66216,0.0,3,0,0,0
