timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1960886710,0.0620023,-0.0394823,0.496701,0.0,0.968514,0.0348892,-0.0115075,0.246233,0.62301,0.0,0.0,1,0,0,0,0,0
1960983316,0.0573417,-0.0832627,0.479486,0.0,0.969875,0.0377014,-0.0336112,0.238309,0.618571,0.0,0.0,1,0,0,0,0,0
1961103300,0.0638285,-0.111764,0.477572,0.0,0.969194,0.0441588,-0.0467051,0.237765,0.621687,0.0,0.0,1,0,0,0,0,0
1961200308,0.0680895,-0.133819,0.473989,0.0,0.968777,0.0487011,-0.0569796,0.236333,0.626862,0.0,0.0,1,0,0,0,0,0
1961297099,0.0661585,-0.152663,0.451129,0.0,0.970734,0.0491877,-0.0669096,0.225342,0.631381,0.0,0.0,1,0,0,0,0,0
1961393133,0.0676168,-0.166777,0.445464,0.0,0.970731,0.0512407,-0.0737473,0.222748,0.641311,0.0,0.0,1,0,0,0,0,0
1961513703,0.0586789,-0.177621,0.420187,0.0,0.973195,0.0470664,-0.0806123,0.210185,0.646334,0.0,0.0,1,0,0,0,0,0
1961609652,0.0587186,-0.180437,0.413264,0.0,0.973784,0.0470904,-0.0821434,0.206831,0.646194,0.0,0.0,1,0,0,0,0,0
1961702550,0.0577171,-0.183797,0.404971,0.0,0.974497,0.0465933,-0.0840785,0.202767,0.645569,0.0,0.0,1,0,0,0,0,0
1961799406,0.0534956,-0.18423,0.382795,0.0,0.976759,0.0436371,-0.0852069,0.191772,0.639803,0.0,0.0,1,0,0,0,0,0
1961919554,0.0572383,-0.176634,0.376567,0.0,0.977625,0.0445022,-0.0812726,0.188847,0.630218,0.0,0.0,1,0,0,0,0,0
1962016399,0.0526756,-0.165145,0.356597,0.0,0.980068,0.0404519,-0.0764881,0.178827,0.618375,0.0,0.0,1,0,0,0,0,0
1962112838,0.0537687,-0.151714,0.351544,0.0,0.981049,0.0396382,-0.0699023,0.176308,0.602687,0.0,0.0,1,0,0,0,0,0
1962209745,0.0600165,-0.137502,0.349664,0.0,0.981629,0.0414205,-0.0624127,0.175484,0.585907,0.0,0.0,1,0,0,0,0,0
1962305800,0.0591989,-0.123631,0.333906,0.0,0.983477,0.0393893,-0.0559821,0.167591,0.570374,0.0,0.0,1,0,0,0,0,0
1962422660,0.0621558,-0.109288,0.332501,0.0,0.983984,0.0396326,-0.0487031,0.166833,0.552681,0.0,0.0,1,0,0,0,0,0
1962518634,0.0623274,-0.100976,0.331492,0.0,0.984301,0.0390148,-0.0446164,0.166249,0.540689,0.0,0.0,1,0,0,0,0,0
1962614039,0.0552815,-0.0927638,0.317639,0.0,0.985773,0.03459,-0.0413981,0.159187,0.548089,0.0,0.0,1,0,0,0,0,0
1962735401,0.059114,-0.0575944,0.318259,0.0,0.98639,0.0337278,-0.0237361,0.159164,0.599305,0.0,0.0,1,0,0,0,0,0
1962827966,0.0626085,-0.0339334,0.318678,0.0,0.986622,0.0335888,-0.0117774,0.159089,0.625143,0.0,0.0,1,0,0,0,0,0
1962925015,0.0604208,-0.0201427,0.30608,0.0,0.987765,0.0313859,-0.00534447,0.152667,0.641305,0.0,0.0,1,0,0,0,0,0
1963021684,0.0649457,-0.0188016,0.307656,0.0,0.98758,0.033522,-0.00431032,0.153436,0.642338,0.0,0.0,1,0,0,0,0,0
1963117760,0.067927,-0.00668255,0.309036,0.0,0.987493,0.0340661,0.00192652,0.153926,0.656787,0.0,0.0,1,0,0,0,0,0
1963238485,0.0628923,-0.00449554,0.296906,0.0,0.988499,0.0314274,0.00242843,0.147905,0.660958,0.0,0.0,1,0,0,0,0,0
1963334479,0.065891,0.000186757,0.298478,0.0,0.988348,0.0325595,0.00498993,0.148602,0.668946,0.0,0.0,1,0,0,0,0,0
1963430899,0.0704482,0.000600139,0.299482,0.0,0.988198,0.034778,0.00555025,0.149079,0.673624,0.0,0.0,1,0,0,0,0,0
1963527535,0.0785644,0.000479443,0.301232,0.0,0.987918,0.0387916,0.00612949,0.149922,0.67947,0.0,0.0,1,0,0,0,0,0
1963648440,0.0805474,-0.00680841,0.289617,0.0,0.988706,0.040332,0.00244417,0.144321,0.675737,0.0,0.0,1,0,0,0,0,0
1963744942,0.0794356,-0.0136316,0.289342,0.0,0.988711,0.0402735,-0.0010149,0.144318,0.675551,0.0,0.0,1,0,0,0,0,0
1963837602,0.0792625,-0.0133593,0.290787,0.0,0.988612,0.0401689,-0.000863708,0.145026,0.686865,0.0,0.0,1,0,0,0,0,0
1963933998,0.0816266,-0.0169025,0.291153,0.0,0.988513,0.0415939,-0.00243613,0.145278,0.694408,0.0,0.0,1,0,0,0,0,0
