timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1818562026,26.2594,29.53,101010.0,1.20017
1818572075,26.7588,29.53,101004.0,1.20009
1818582128,26.6769,29.53,101005.0,1.20011
1818602445,26.4258,29.53,101008.0,1.20014
1818612493,26.8433,29.53,101003.0,1.20008
1818622543,26.4258,29.53,101008.0,1.20014
1818642741,26.3413,29.53,101009.0,1.20015
1818652805,26.3413,29.53,101009.0,1.20015
1818662853,26.5923,29.53,101006.0,1.20012
1818683145,26.5923,29.53,101006.0,1.20012
1818693218,26.9279,29.53,101002.0,1.20007
1818703269,26.5923,29.53,101006.0,1.20012
1818723506,26.3413,29.53,101009.0,1.20015
1818733559,26.6769,29.53,101005.0,1.20011
1818743617,26.5104,29.53,101007.0,1.20013
1818763720,26.5923,29.52,101006.0,1.20012
1818773810,26.6769,29.52,101005.0,1.20011
1818783941,26.5923,29.52,101006.0,1.20012
1818804092,26.2594,29.53,101010.0,1.20017
1818814151,26.4258,29.53,101008.0,1.20014
1818824201,26.4258,29.53,101008.0,1.20014
1818844473,26.3413,29.53,101009.0,1.20015
1818854521,26.5104,29.53,101007.0,1.20013
1818864757,26.5923,29.53,101006.0,1.20012
1818884848,26.4258,29.53,101008.0,1.20014
1818894896,26.5104,29.53,101007.0,1.20013
1818904945,26.5104,29.53,101007.0,1.20013
1818925273,26.8433,29.52,101003.0,1.20008
1818935321,26.1748,29.52,101011.0,1.20018
1818945607,26.5923,29.52,101006.0,1.20012
1818965702,26.0084,29.53,101013.0,1.2002
1818975966,26.2594,29.53,101010.0,1.20017
1818986014,26.2594,29.53,101010.0,1.20017
1819006428,26.4258,29.53,101008.0,1.20014
1819016487,26.2594,29.53,101010.0,1.20017
1819026535,26.5104,29.53,101007.0,1.20013
1819046818,26.4258,29.53,101008.0,1.20014
1819056866,26.3413,29.53,101009.0,1.20015
1819066942,26.4258,29.53,101008.0,1.20014
1819087089,26.0929,29.53,101012.0,1.20019
1819097186,26.7588,29.53,101004.0,1.20009
1819107286,26.8433,29.53,101003.0,1.20008
1819127418,26.6769,29.53,101005.0,1.20011
1819137536,26.2594,29.53,101010.0,1.20017
