timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
1816796542,0.155403,0.0763201,0.00279899,-0.181435,0.336834,0.00679398,-0.0932176,-0.0199236,-0.456669,-0.131225,1.20959,0.288836,0.0,0.0,0.185501,0.262834,0.262679,0.148937,0.342305,0.342141,4.04688,0.00251114,0.00250823,0.00250802,0.0901489,1.91065,0.300327,0.0,0.0,0.601977,0.00410388,0.00641083,0.0279667,0.0,0.0,0.0,0.0,0.0,0.0
1816997464,0.102406,0.0787437,0.0577192,-0.119613,0.284594,-0.121696,-0.0932176,-0.0199236,-0.456669,-0.112718,1.20959,0.288836,0.0,0.0,0.185501,0.262259,0.262145,0.148853,0.33609,0.335939,4.04682,0.00251114,0.00250823,0.00250802,0.0901489,1.91065,0.300327,0.0,0.0,0.601977,0.00338415,0.0033595,0.0183082,0.0,0.0,0.0,0.0,0.0,0.0
1817202142,0.0821622,0.133431,0.122306,-0.0747428,0.275419,-0.248175,-0.0932176,-0.0199236,-0.456669,-0.162272,1.20959,0.288836,0.0,0.0,0.185501,0.261946,0.261865,0.148806,0.331112,0.330969,4.04645,0.00251114,0.00250823,0.00250802,0.090149,1.91065,0.300327,0.0,0.0,0.601977,0.00304349,0.00608819,0.0171603,0.0,0.0,0.0,0.0,0.0,0.0
1817404542,0.127625,-0.00119113,-0.00440638,-0.059164,0.267796,-0.270592,-0.0932176,-0.0199236,-0.456669,-0.152885,1.20959,0.288836,0.0,0.0,0.185501,0.261781,0.261706,0.148777,0.326312,0.326176,4.04642,0.00251114,0.00250823,0.00250802,0.0901491,1.91065,0.300327,0.0,0.0,0.601977,0.0034138,0.00697773,0.0108768,0.0,0.0,0.0,0.0,0.0,0.0
1817605342,0.0453203,0.0304037,-0.0583238,-0.0413518,0.278846,-0.305941,-0.0932176,-0.0199236,-0.456669,-0.0882739,1.20959,0.288836,0.0,0.0,0.185501,0.261587,0.261532,0.148721,0.32115,0.321026,4.04604,0.00251114,0.00250823,0.00250802,0.0901489,1.91065,0.300327,0.0,0.0,0.601977,0.00320399,0.00772439,0.0151914,0.0,0.0,0.0,0.0,0.0,0.0
1817806945,-0.00569683,-0.0418328,-0.0278439,-0.0476837,0.265507,-0.232786,-0.0932176,-0.0199236,-0.456669,-0.158001,1.20959,0.288836,0.0,0.0,0.185501,0.261537,0.261503,0.148701,0.317802,0.317688,4.04596,0.00251114,0.00250823,0.00250802,0.090149,1.91065,0.300327,0.0,0.0,0.601977,0.00291583,0.00801651,0.0176703,0.0,0.0,0.0,0.0,0.0,0.0
1818005362,0.0183393,-0.0569468,0.0771768,-0.0226517,0.248923,-0.15995,-0.0932176,-0.0199236,-0.456669,-0.20345,1.20959,0.288836,0.0,0.0,0.185501,0.261429,0.261409,0.148669,0.312891,0.31279,4.04571,0.00251114,0.00250823,0.00250802,0.0901491,1.91065,0.300327,0.0,0.0,0.601977,0.00313565,0.00737298,0.0169926,0.0,0.0,0.0,0.0,0.0,0.0
1818211742,0.0678485,-0.0598736,-0.00358419,0.019289,0.22554,0.189051,-0.0932176,-0.0199236,-0.456669,-0.115546,1.20959,0.288836,0.0,0.0,0.185501,0.261456,0.261451,0.148705,0.307472,0.307384,4.04562,0.00251114,0.00250823,0.00250802,0.090149,1.91065,0.300327,0.0,0.0,0.601977,0.0035889,0.0102821,0.0238133,0.0,0.0,0.0,0.0,0.0,0.0
1818412542,0.00879981,-0.0763743,0.041699,0.0391026,0.221787,0.0663929,-0.0932176,-0.0199236,-0.456669,-0.151982,1.20959,0.288836,0.0,0.0,0.185501,0.261435,0.261441,0.148708,0.303833,0.30376,4.04571,0.00251114,0.00250823,0.00250802,0.0901488,1.91065,0.300327,0.0,0.0,0.601977,0.00378745,0.0106644,0.0252973,0.0,0.0,0.0,0.0,0.0,0.0
1818613342,0.0210473,-0.129864,0.0145915,0.0562263,0.217386,0.159924,-0.0932176,-0.0199236,-0.456669,-0.177831,1.20959,0.288836,0.0,0.0,0.185501,0.261411,0.261427,0.148705,0.301172,0.301113,4.04567,0.00251114,0.00250823,0.00250802,0.0901488,1.91065,0.300327,0.0,0.0,0.601977,0.00371079,0.0118656,0.0284652,0.0,0.0,0.0,0.0,0.0,0.0
