timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
1816626000,inf,0,0,0,1,0
1817645176,inf,0,0,0,1,0
1818665136,inf,0,0,0,1,0
1819665702,inf,0,0,0,1,0
1820666641,inf,0,0,0,1,0
1821685180,inf,0,0,0,1,0
1822705181,inf,0,0,0,1,0
1823725270,inf,0,0,0,1,0
1824745136,inf,0,0,0,1,0
1825745139,inf,0,0,0,1,0
1826745168,inf,0,0,0,1,0
1827746052,inf,0,0,0,1,0
1828765139,inf,0,0,0,1,0
1829765146,inf,0,0,0,1,0
1830785180,inf,0,0,0,1,0
1831805136,inf,0,0,0,1,0
1832805151,inf,0,0,0,1,0
1833805571,inf,0,0,0,1,0
1834825939,inf,0,0,0,1,0
1835845143,inf,0,0,0,1,0
1836845147,inf,0,0,0,1,0
1837845907,inf,0,0,0,1,0
1838865148,inf,0,0,0,1,0
1839865689,inf,0,0,0,1,0
1840885227,inf,0,0,0,1,0
1841905136,inf,0,0,0,1,0
1842925146,inf,0,0,0,1,0
1843925979,inf,0,0,0,1,0
1844926440,inf,0,0,0,1,0
1845945136,inf,0,0,0,1,0
1846945139,inf,0,0,0,1,0
1847945223,inf,0,0,0,1,0
1848965136,inf,0,0,0,1,0
1849965141,inf,0,0,0,1,0
1850966100,inf,0,0,0,1,0
1851966550,inf,0,0,0,1,0
1852985136,inf,0,0,0,1,0
1853985146,inf,0,0,0,1,0
1855006513,inf,0,0,0,1,0
1856025143,inf,0,0,0,1,0
1857045180,inf,0,0,0,1,0
1858046481,inf,0,0,0,1,0
1859065140,inf,0,0,0,1,0
1860065173,inf,0,0,0,1,0
1861085752,inf,0,0,0,1,0
1862106056,inf,0,0,0,1,0
1863125136,inf,0,0,0,1,0
1864125136,inf,0,0,0,1,0
1865125881,inf,0,0,0,1,0
1866145180,inf,0,0,0,1,0
1867165136,inf,0,0,0,1,0
1868165765,inf,0,0,0,1,0
1869185136,inf,0,0,0,1,0
1870185146,inf,0,0,0,1,0
1871185150,inf,0,0,0,1,0
1872205684,inf,0,0,0,1,0
1873225139,inf,0,0,0,1,0
1874225139,inf,0,0,0,1,0
1875246090,inf,0,0,0,1,0
1876265145,inf,0,0,0,1,0
1877285182,inf,0,0,0,1,0
1878285665,inf,0,0,0,1,0
1879285968,inf,0,0,0,1,0
1880305146,inf,0,0,0,1,0
1881325143,inf,0,0,0,1,0
1882325188,inf,0,0,0,1,0
1883345136,inf,0,0,0,1,0
1884345189,inf,0,0,0,1,0
1885345704,inf,0,0,0,1,0
1886365853,inf,0,0,0,1,0
1887385139,inf,0,0,0,1,0
1890425142,inf,0,0,0,1,0
1891445136,inf,0,0,0,1,0
1892445143,inf,0,0,0,1,0
1893445180,inf,0,0,0,1,0
1894465136,inf,0,0,0,1,0
1895465632,inf,0,0,0,1,0
1896467404,inf,0,0,0,1,0
1897485139,inf,0,0,0,1,0
1898485146,inf,0,0,0,1,0
1899485871,inf,0,0,0,1,0
1900486456,inf,0,0,0,1,0
1901505180,inf,0,0,0,1,0
1902505808,inf,0,0,0,1,0
1903525139,inf,0,0,0,1,0
1904525189,inf,0,0,0,1,0
1905545145,inf,0,0,0,1,0
1906565734,inf,0,0,0,1,0
1907585136,inf,0,0,0,1,0
1908585146,inf,0,0,0,1,0
1909605145,inf,0,0,0,1,0
1910605217,inf,0,0,0,1,0
1911625139,inf,0,0,0,1,0
1912645149,inf,0,0,0,1,0
1913645667,inf,0,0,0,1,0
1914645890,inf,0,0,0,1,0
1915665141,inf,0,0,0,1,0
1916666864,inf,0,0,0,1,0
1917685927,inf,0,0,0,1,0
1918705136,inf,0,0,0,1,0
1919705241,inf,0,0,0,1,0
1920725899,inf,0,0,0,1,0
1921745146,inf,0,0,0,1,0
1922765136,inf,0,0,0,1,0
1923765742,inf,0,0,0,1,0
1924785138,inf,0,0,0,1,0
1925805148,inf,0,0,0,1,0
1926825270,inf,0,0,0,1,0
1927845171,inf,0,0,0,1,0
1928865138,inf,0,0,0,1,0
1929865146,inf,0,0,0,1,0
1930885733,inf,0,0,0,1,0
1931885892,inf,0,0,0,1,0
1932905136,inf,0,0,0,1,0
1933905138,inf,0,0,0,1,0
1934905158,inf,0,0,0,1,0
1935925136,inf,0,0,0,1,0
1936925183,inf,0,0,0,1,0
1937925572,inf,0,0,0,1,0
1938946101,inf,0,0,0,1,0
1939965136,inf,0,0,0,1,0
1940965136,inf,0,0,0,1,0
1941965810,inf,0,0,0,1,0
1942985136,inf,0,0,0,1,0
1943985141,inf,0,0,0,1,0
1944985753,inf,0,0,0,1,0
1946005923,inf,0,0,0,1,0
1947025136,inf,0,0,0,1,0
1948025136,inf,0,0,0,1,0
1949025937,inf,0,0,0,1,0
1950045136,inf,0,0,0,1,0
1951045148,inf,0,0,0,1,0
1951065136,inf,0,0,0,0,0
1952065147,inf,0,0,0,0,0
1953065147,inf,0,0,0,0,0
1954085148,inf,0,0,0,0,0
1955105152,inf,0,0,0,0,0
1956105236,inf,0,0,0,0,0
1957125136,inf,0,0,0,0,0
1958125136,inf,0,0,0,0,0
1959125786,inf,0,0,0,0,0
1960126399,inf,0,0,0,0,0
1961145136,inf,0,0,0,0,0
1962145141,inf,0,0,0,0,0
1963165606,inf,0,0,0,0,0
1964166122,inf,0,0,0,0,0
1965185146,inf,0,0,0,0,0
1966205661,inf,0,0,0,0,0
1967225902,inf,0,0,0,0,0
1968245136,inf,0,0,0,0,0
1969245138,inf,0,0,0,0,0
1970245139,inf,0,0,0,0,0
1971265136,inf,0,0,0,0,0
1972265136,inf,0,0,0,0,0
1973266595,inf,0,0,0,0,0
1974285241,inf,0,0,0,0,0
1975305136,inf,0,0,0,0,0
1976305139,inf,0,0,0,0,0
1977305139,inf,0,0,0,0,0
1978305192,inf,0,0,0,0,0
1979325136,inf,0,0,0,0,0
1980325755,inf,0,0,0,0,0
1981325929,inf,0,0,0,0,0
1982345136,inf,0,0,0,0,0
1983345149,inf,0,0,0,0,0
1984365137,inf,0,0,0,0,0
1985385140,inf,0,0,0,0,0
1986405136,inf,0,0,0,0,0
1987406717,inf,0,0,0,0,0
1988425201,inf,0,0,0,0,0
1989445136,inf,0,0,0,0,0
1990445175,inf,0,0,0,0,0
1991445788,inf,0,0,0,0,0
1992467705,inf,0,0,0,0,0
1993485136,inf,0,0,0,0,0
1994485933,inf,0,0,0,0,0
1995486367,inf,0,0,0,0,0
1996505146,inf,0,0,0,0,0
1997525146,inf,0,0,0,0,0
1998525208,inf,0,0,0,0,0
1999526613,inf,0,0,0,0,0
2000545139,inf,0,0,0,0,0
2001545919,inf,0,0,0,0,0
2002566099,inf,0,0,0,0,0
2003585136,inf,0,0,0,0,0
2007605136,inf,0,0,0,0,0
2008605136,inf,0,0,0,0,0
2009605869,inf,0,0,0,0,0
2010625136,inf,0,0,0,0,0
2011625190,inf,0,0,0,0,0
2012626082,inf,0,0,0,0,0
2013645170,inf,0,0,0,0,0
2014665146,inf,0,0,0,0,0
2015665711,inf,0,0,0,0,0
2016686491,inf,0,0,0,0,0
2017705140,inf,0,0,0,0,0
2018725143,inf,0,0,0,0,0
2019725654,inf,0,0,0,0,0
2020745136,inf,0,0,0,0,0
2021745222,inf,0,0,0,0,0
2022745655,inf,0,0,0,0,0
2023745713,inf,0,0,0,0,0
2024765136,inf,0,0,0,0,0
2025765148,inf,0,0,0,0,0
2026785625,inf,0,0,0,0,0
2027805136,inf,0,0,0,0,0
2028805139,inf,0,0,0,0,0
2029805788,inf,0,0,0,0,0
2030825138,inf,0,0,0,0,0
2031845183,inf,0,0,0,0,0
2032865830,inf,0,0,0,0,0
2033885303,inf,0,0,0,0,0
2034886133,inf,0,0,0,0,0
2035905136,inf,0,0,0,0,0
2036905155,inf,0,0,0,0,0
2037905966,inf,0,0,0,0,0
2038925158,inf,0,0,0,0,0
2039925306,inf,0,0,0,0,0
2040926482,inf,0,0,0,0,0
2041945189,inf,0,0,0,0,0
2042945192,inf,0,0,0,0,0
2043965743,inf,0,0,0,0,0
2044966078,inf,0,0,0,0,0
2045345627,inf,0,0,0,1,0
2046365619,inf,0,0,0,1,0
2047365879,inf,0,0,0,1,0
2048385136,inf,0,0,0,1,0
2049385685,inf,0,0,0,1,0
2050406421,inf,0,0,0,1,0
2051425151,inf,0,0,0,1,0
2052425179,inf,0,0,0,1,0
