timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
1816467693,0.503491,0.0244619,0.0720705
2051487288,0.496325,0.0281016,0.0761382
2051688138,0.623652,0.0195134,0.295982
2051893634,0.443306,0.0249522,0.238127
2052094890,0.443688,0.0176068,0.244422
2052296310,0.491383,0.0168205,0.24674
