timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
1962914942,-3.07843,3.98241,0.00978367,0.0295033,-1.11944,1.93474,0.0,-0.0549086,0.300355
1963115773,-3.11377,3.96593,0.00956045,0.02948,-1.11989,1.93486,0.0,-0.0375461,0.30035
1963316552,-3.15036,3.95001,0.00935713,0.0294575,-1.05018,1.93443,0.0,-0.0321843,0.300346
1963517342,-3.17878,3.93834,0.00917054,0.0294559,-0.805209,1.93457,0.0,-0.0426576,0.300354
1963726945,-3.20478,3.92886,0.00898213,0.0294645,-0.764467,1.9344,0.0,-0.0537407,0.300353
1963923757,-3.21688,3.92405,0.00883017,0.0294727,-0.136026,1.93384,0.0,-0.126275,0.300359
1964132542,-3.22725,3.92059,0.00866789,0.0294943,-0.593154,1.93405,0.0,-0.110871,0.300365
1964333367,-3.24157,3.9164,0.00853384,0.0295216,-0.376227,1.93364,0.0,-0.126458,0.300366
1964534945,-3.25868,3.9096,0.00840215,0.0295338,-0.808298,1.93311,0.0,-0.135134,0.300363
1964731746,-3.28236,3.90107,0.00827419,0.0295571,-1.14873,1.93237,0.0,-0.146867,0.300367
1964940542,-3.31484,3.89078,0.00815726,0.029585,-0.768072,1.93387,0.0,-0.1852,0.300376
1965142142,-3.33049,3.88646,0.00803754,0.0296078,-0.497823,1.93346,0.0,-0.0588613,0.300353
1965342970,-3.34467,3.8848,0.00794494,0.0296485,-0.628186,1.93295,0.0,-0.0443392,0.30035
1965547749,-3.35791,3.88372,0.00785864,0.0296908,-0.567858,1.93212,0.0,-0.0599688,0.300356
1965748573,-3.37584,3.88144,0.00777461,0.0297207,-1.11467,1.93221,0.0,-0.0871952,0.300358
1965950148,-3.39886,3.87957,0.00768387,0.0297625,-0.884447,1.93192,0.0,-0.102282,0.300361
1966147747,-3.42292,3.87941,0.00761235,0.0298037,-0.928437,1.93201,0.0,-0.110147,0.300371
1966355742,-3.43978,3.88078,0.00755199,0.0298435,-0.73163,1.93208,0.0,-0.182071,0.300379
1966557342,-3.46257,3.88232,0.00749337,0.0298709,-1.65136,1.93179,0.0,-0.129571,0.300367
